name,metal,ox,high_spin,spin_splitting_kcal/mol,energetic_homo_ls_eV,energetic_homo_hs_eV,energetic_lumo_ls_eV,energetic_lumo_hs_eV,energetic_gap_ls_eV,energetic_gap_hs_eV
fe_2_misc_misc_misc_misc_pyr_misc,fe,2,5,33.7854381990262,-12.9635043020086,-12.1961432161214,-6.83822130792349,-8.54165407304888,6.12528299408506,3.65448914307252
fe_2_misc_misc_misc_misc_pyr_pyr,fe,2,5,19.8484543526349,-12.6015928678845,-12.1362781668678,-6.77563512006744,-8.0763393720322,5.82595774781703,4.05993879483559
fe_2_misc_misc_misc_misc_water_furan,fe,2,5,7.14708529239281,-12.1634895528922,-11.9294716330826,-8.22055971796134,-9.11581431816303,3.94292983493081,2.81365731491957
fe_2_misc_misc_misc_misc_water_misc,fe,2,5,24.9433576364473,-13.4886840522788,-12.6968327189698,-7.88858080846406,-8.93349803179977,5.60010324381478,3.76333468716999
fe_2_misc_misc_misc_misc_water_water,fe,2,5,6.64782055713181,-13.6655580614372,-13.1104457865401,-8.23144427237109,-9.12669887257277,5.43411378906614,3.98374691396737
fe_2_pyr_pyr_pyr_pyr_carbonyl_carbonyl,fe,2,5,8.91713471161326,-13.3471848449521,-12.9988791038402,-7.8613694224397,-9.0994874865484,5.48581542251244,3.89939161729183
fe_2_pyr_pyr_pyr_pyr_carbonyl_furan,fe,2,5,-8.13287349664309,-12.1090667808434,-11.9675675735167,-7.86681169964457,-8.54981748885619,4.24225508119885,3.41775008466053
fe_2_pyr_pyr_pyr_pyr_carbonyl_misc,fe,2,5,7.08997483940265,-12.8437742035013,-12.3376424234481,-7.14570996999884,-8.40015486572217,5.6980642335025,3.93748755772594
fe_2_pyr_pyr_pyr_pyr_furan_furan,fe,2,5,-22.8169194825237,-11.8070203959729,-11.6410309412243,-7.78789868017391,-8.3212418462515,4.01912171579904,3.3197890949728
fe_2_pyr_pyr_pyr_pyr_misc_furan,fe,2,5,-7.63639239350482,-11.7498764853218,-11.545791090139,-7.02325873288919,-8.0763393720322,4.72661775243259,3.46945171810682
fe_2_pyr_pyr_pyr_pyr_misc_misc,fe,2,5,4.69703636120508,-12.1444415826751,-11.7662033169364,-6.68039526898216,-7.84504259082508,5.46404631369294,3.92116072611132
fe_2_pyr_pyr_pyr_pyr_pyr_carbonyl,fe,2,5,-3.8898773255598,-12.7539766296209,-12.2832196513994,-7.11849858397447,-8.16885808451505,5.63547804564646,4.11436156688433
fe_2_pyr_pyr_pyr_pyr_pyr_furan,fe,2,5,-19.2442970791194,-11.7335496537072,-11.5240219813195,-6.92529774320146,-7.85320600663239,4.80825191050569,3.67081597468714
fe_2_pyr_pyr_pyr_pyr_pyr_pyr,fe,2,5,-17.2283239987625,-11.8396740592022,-11.6110984165975,-6.66406843736754,-7.50490026552049,5.17560562183465,4.10619815107702
fe_2_pyr_pyr_pyr_pyr_water_furan,fe,2,5,-17.9272806971939,-12.0492017315898,-11.9457984646972,-7.20285388065001,-8.08450278783951,4.84634785093981,3.86129567685771
fe_2_pyr_pyr_pyr_pyr_water_misc,fe,2,5,-2.33686987916945,-12.2913830672067,-12.0492017315898,-6.9579514064307,-8.00831090697128,5.33343166077598,4.04089082461854
fe_2_pyr_pyr_pyr_pyr_water_pyr,fe,2,5,-15.040672358391,-12.0464805929874,-11.8451163364071,-6.90352863438197,-7.79606209598122,5.14295195860541,4.04905424042585
fe_2_pyr_pyr_pyr_pyr_water_water,fe,2,5,-15.0206473387338,-12.3322001462432,-12.2342391565555,-7.10489289096229,-8.01919546138103,5.22730725528095,4.21504369517449
fe_2_water_water_water_water_carbonyl_carbonyl,fe,2,5,-21.4312843122667,-16.4193503271032,-15.8832860224232,-10.9008812413615,-11.4097341600172,5.51846908574168,4.47355186240598
fe_2_water_water_water_water_carbonyl_furan,fe,2,5,-20.815266482129,-13.4995686066886,-13.1267726181548,-10.299509610223,-10.6886324303715,3.20005899646559,2.43814018778331
fe_2_water_water_water_water_carbonyl_misc,fe,2,5,-13.539173462389,-15.4941632022747,-14.7948305814485,-9.70085911768692,-10.3593746594766,5.79330408458779,4.43545592197186
fe_2_water_water_water_water_misc_furan,fe,2,5,-19.8869124001998,-12.9879945494305,-12.5907083134747,-9.07227610052404,-9.97297297793059,3.91571844890645,2.61773533554413
fe_2_water_water_water_water_misc_misc,fe,2,5,-10.7412878721595,-14.4057077613,-13.8750857338249,-8.65866303295366,-9.6028981279992,5.74704472834636,4.27218760582566
fe_2_water_water_water_water_pyr_carbonyl,fe,2,5,-15.9569684692079,-14.3703329594683,-13.9240662286687,-9.49677372250417,-9.97569411653303,4.87355923696418,3.94837211213569
fe_2_water_water_water_water_pyr_furan,fe,2,5,-20.6447995175203,-12.9281295001769,-12.8002359858624,-8.39471258851729,-9.45595664346762,4.53341691165958,3.34427934239474
fe_2_water_water_water_water_pyr_misc,fe,2,5,-15.2926256325151,-13.8451532091981,-13.4777994978691,-8.35117437087831,-9.28180377291167,5.49397883831975,4.19599572495743
fe_2_water_water_water_water_pyr_pyr,fe,2,5,-21.6058492903818,-13.3580693993619,-13.2492238552644,-7.91307105588599,-8.99064194245094,5.44499834347589,4.25858191281347
fe_2_water_water_water_water_water_carbonyl,fe,2,5,-19.5723801162635,-16.1390730510522,-15.1812322629945,-10.3484901050669,-10.772987727047,5.79058294598535,4.40824453594749
fe_2_water_water_water_water_water_furan,fe,2,5,-26.7081676653646,-13.5050108838935,-13.1131669251426,-9.202890753441,-10.0110689183647,4.30212013045246,3.10209800677787
fe_2_water_water_water_water_water_misc,fe,2,5,-18.7013787059881,-14.7757826112314,-14.3023044944074,-9.0178533284753,-10.0165111955696,5.75792928275611,4.28579329883784
fe_2_water_water_water_water_water_pyr,fe,2,5,-20.8609608434797,-14.1118247922369,-13.7227019720884,-8.50083699401233,-9.33078426775553,5.61098779822452,4.39191770433287
fe_3_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_misc,fe,3,6,22.6998602257595,-22.4793259947298,-22.2099332730885,-20.1364256580318,-19.9024077382222,2.34290033669802,2.30752553486634
fe_3_carbonyl_carbonyl_carbonyl_carbonyl_misc_misc,fe,3,6,28.8544403896939,-21.352774613321,-21.0398436740408,-18.879259623706,-18.7377604163793,2.47351498961498,2.30208325766147
fe_3_carbonyl_carbonyl_carbonyl_carbonyl_pyr_carbonyl,fe,3,6,15.9134101501315,-21.1051510004992,-20.3241842215999,-18.5717709616306,-17.8969285882263,2.53338003886859,2.42725563337356
fe_3_carbonyl_carbonyl_carbonyl_carbonyl_water_carbonyl,fe,3,6,11.8894616604007,-25.2576085078177,-24.5011319763403,-20.7894989226166,-21.0480070898481,4.4681095852011,3.4531248864922
fe_3_carbonyl_carbonyl_carbonyl_carbonyl_water_misc,fe,3,6,17.6410293868052,-22.1010877289911,-21.8398584231572,-19.3745068493495,-19.6466207095931,2.7265808796416,2.193237713564
fe_3_carbonyl_carbonyl_carbonyl_carbonyl_water_water,fe,3,6,2.55364302688749,-24.5691604414012,-24.2181335616868,-20.2452712021292,-20.6942590715313,4.32388923927196,3.52387449015556
fe_3_furan_furan_furan_furan_carbonyl_furan,fe,3,6,-23.71398857766,-15.8424689433866,-15.6547103798185,-15.2410973122481,-15.0125216696434,0.601371631138516,0.64218871017507
fe_3_furan_furan_furan_furan_carbonyl_misc,fe,3,6,-18.4805886817509,-15.5757973603478,-15.5213745882991,-15.0995981049214,-15.028848501258,0.476199255426428,0.492526087041048
fe_3_furan_furan_furan_furan_misc_furan,fe,3,6,-21.9436437897292,-15.4615095390455,-15.2302127578383,-14.7131964233754,-14.6152354336876,0.748313115670102,0.614977324150697
fe_3_furan_furan_furan_furan_misc_misc,fe,3,6,-17.1406949361994,-15.1512997383677,-15.0832712733068,-14.7023118689656,-14.5853029090608,0.448987869402059,0.497968364245921
